ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: SeaTemp-2MinAvg-Message
2023-08-10T17:21:22.6931862Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.9089
2023-08-10T17:21:23.7227175Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.9202
2023-08-10T17:21:24.7632687Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.9136
2023-08-10T17:21:25.7927948Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.8968
2023-08-10T17:21:26.8332845Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.9267
2023-08-10T17:21:27.8731420Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.9633
2023-08-10T17:21:28.9029021Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.9893
2023-08-10T17:21:29.9453170Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.9846
2023-08-10T17:21:30.9729534Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.9131
2023-08-10T17:21:32.0154404Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.8971
2023-08-10T17:21:33.0540675Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.9042
2023-08-10T17:21:34.0837520Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.9257
2023-08-10T17:21:35.1232379Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.9369
2023-08-10T17:21:36.1537725Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.8848
2023-08-10T17:21:37.1940956Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.8454
2023-08-10T17:21:38.2241551Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.7982
2023-08-10T17:21:39.2642025Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.7648
2023-08-10T17:21:40.3045689Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.7545
