ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: TSG-2174150-3326-Message
2023-07-30T07:45:32.4147854Z, 7eda8203-a249-e411-b0cc-f8bc1246af59, 3
2023-07-30T07:45:35.3019683Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176546        14.2344         4.031861        33.2910        14.5554      1503.26        58.199
2023-07-30T07:45:35.4114776Z, 7eda8203-a249-e411-b0cc-f8bc1246af59, 7
2023-07-30T07:45:38.3019313Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176547        14.2599         4.032062        33.2709        14.5610      1503.26        58.209
2023-07-30T07:45:38.4114750Z, 7eda8203-a249-e411-b0cc-f8bc1246af59, 8
2023-07-30T07:45:41.3019152Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176548        14.2959         4.032259        33.2417        14.5607      1503.22        58.209
2023-07-30T07:45:41.4124783Z, 7eda8203-a249-e411-b0cc-f8bc1246af59, 3
2023-07-30T07:45:44.3025312Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176549        14.3348         4.032556        33.2110        14.5623      1503.19        58.212
2023-07-30T07:45:44.4120550Z, 7eda8203-a249-e411-b0cc-f8bc1246af59, 1
2023-07-30T07:45:47.3028461Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176550        14.3715         4.032756        33.1813        14.5643      1503.16        58.215
2023-07-30T07:45:47.4123477Z, 7eda8203-a249-e411-b0cc-f8bc1246af59, 7
2023-07-30T07:45:50.3024088Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176551        14.4181         4.033054        33.1441        14.5617      1503.11        58.2111
2023-07-30T07:45:53.3025825Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176552        14.4604         4.033250        33.1097        14.5430      1503.01        58.1774
2023-07-30T07:45:56.3026573Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176553        14.4949         4.033648        33.0839        14.5472      1503.00        58.1849
2023-07-30T07:45:59.3037183Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176554        14.5280         4.034046        33.0593        14.4002      1502.49        57.9204
2023-07-30T07:46:02.3130918Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176555        14.5576         4.034545        33.0386        14.4364      1502.59        57.9855
