ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: TSG-0289-Message
2023-09-10T00:01:10.8221441Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0074, c1= 0.05241, s=  0.2645, sv=1493.964, t2= 23.8810
2023-09-10T00:01:11.8526704Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0081, c1= 0.05242, s=  0.2645, sv=1493.965, t2= 23.8812
2023-09-10T00:01:12.8727863Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0085, c1= 0.05241, s=  0.2645, sv=1493.965, t2= 23.8812
2023-09-10T00:01:13.9033083Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0089, c1= 0.05240, s=  0.2645, sv=1493.966, t2= 23.8817
2023-09-10T00:01:14.9332751Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0083, c1= 0.05240, s=  0.2644, sv=1493.968, t2= 23.8823
2023-09-10T00:01:15.9628137Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0087, c1= 0.05241, s=  0.2645, sv=1493.969, t2= 23.8827
2023-09-10T00:01:16.9834705Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0084, c1= 0.05242, s=  0.2645, sv=1493.970, t2= 23.8831
2023-09-10T00:01:18.0130143Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0087, c1= 0.05241, s=  0.2645, sv=1493.970, t2= 23.8829
2023-09-10T00:01:19.0429079Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0091, c1= 0.05241, s=  0.2645, sv=1493.972, t2= 23.8837
2023-09-10T00:01:20.0737054Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0090, c1= 0.05241, s=  0.2645, sv=1493.973, t2= 23.8841
2023-09-10T00:01:21.0934324Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0096, c1= 0.05241, s=  0.2645, sv=1493.973, t2= 23.8839
2023-09-10T00:01:22.1234450Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0096, c1= 0.05241, s=  0.2645, sv=1493.973, t2= 23.8842
2023-09-10T00:01:23.1535306Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0097, c1= 0.05240, s=  0.2644, sv=1493.974, t2= 23.8844
2023-09-10T00:01:24.1836212Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0095, c1= 0.05241, s=  0.2645, sv=1493.975, t2= 23.8850
2023-09-10T00:01:25.2031912Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0102, c1= 0.05241, s=  0.2645, sv=1493.977, t2= 23.8855
2023-09-10T00:01:26.2337065Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0100, c1= 0.05242, s=  0.2645, sv=1493.979, t2= 23.8862
2023-09-10T00:01:27.2642560Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0101, c1= 0.05241, s=  0.2645, sv=1493.979, t2= 23.8864
2023-09-10T00:01:28.2937805Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0106, c1= 0.05242, s=  0.2645, sv=1493.978, t2= 23.8860
2023-09-10T00:01:29.3143459Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0105, c1= 0.05241, s=  0.2645, sv=1493.979, t2= 23.8863
2023-09-10T00:01:30.3369804Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0112, c1= 0.05241, s=  0.2645, sv=1493.982, t2= 23.8872
2023-09-10T00:01:31.3600562Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0108, c1= 0.05241, s=  0.2645, sv=1493.983, t2= 23.8878
2023-09-10T00:01:32.3905681Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0107, c1= 0.05241, s=  0.2645, sv=1493.984, t2= 23.8880
2023-09-10T00:01:33.4205836Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0113, c1= 0.05242, s=  0.2645, sv=1493.985, t2= 23.8886
2023-09-10T00:01:34.4401570Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0112, c1= 0.05242, s=  0.2645, sv=1493.984, t2= 23.8882
2023-09-10T00:01:35.4706802Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0118, c1= 0.05241, s=  0.2645, sv=1493.986, t2= 23.8889
2023-09-10T00:01:36.5008235Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0117, c1= 0.05241, s=  0.2645, sv=1493.987, t2= 23.8893
2023-09-10T00:01:37.5203822Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0117, c1= 0.05241, s=  0.2645, sv=1493.989, t2= 23.8900
2023-09-10T00:01:38.5509695Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0127, c1= 0.05242, s=  0.2645, sv=1493.990, t2= 23.8901
2023-09-10T00:01:39.5805142Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0122, c1= 0.05242, s=  0.2645, sv=1493.989, t2= 23.8897
2023-09-10T00:01:40.6111157Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0123, c1= 0.05242, s=  0.2645, sv=1493.990, t2= 23.8904
2023-09-10T00:01:41.6406508Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0123, c1= 0.05242, s=  0.2645, sv=1493.992, t2= 23.8909
2023-09-10T00:01:42.6605787Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0125, c1= 0.05241, s=  0.2644, sv=1493.993, t2= 23.8912
2023-09-10T00:01:43.6913017Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0127, c1= 0.05241, s=  0.2645, sv=1493.995, t2= 23.8920
2023-09-10T00:01:44.7208387Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0132, c1= 0.05242, s=  0.2645, sv=1493.995, t2= 23.8920
2023-09-10T00:01:45.7508108Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0131, c1= 0.05242, s=  0.2645, sv=1493.995, t2= 23.8922
