ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: TSG21-SBE38-Temp-F-Message
2023-08-27T19:37:21.1109350Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.04,12.2446
2023-08-27T19:37:22.1512494Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,-1.79769313486232E+308
2023-08-27T19:37:22.2155834Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,53.94,12.19
2023-08-27T19:37:24.2113663Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.03,12.2373
2023-08-27T19:37:25.2518544Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.1,12.2762
2023-08-27T19:37:26.2811366Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.1,12.2787
2023-08-27T19:37:27.3218235Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.07,12.2603
2023-08-27T19:37:28.3516521Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.05,12.2491
2023-08-27T19:37:29.3921188Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.07,12.2628
2023-08-27T19:37:30.4217024Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.09,12.2719
2023-08-27T19:37:31.4621833Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.11,12.2847
2023-08-27T19:37:32.5017054Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.12,12.2874
2023-08-27T19:37:33.5322337Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.09,12.2701
2023-08-27T19:37:34.5717808Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.08,12.2656
2023-08-27T19:37:35.6021087Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.11,12.2829
2023-08-27T19:37:36.6421579Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.11,12.2822
2023-08-27T19:37:37.6722630Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.11,12.2815
2023-08-27T19:37:38.7119305Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.11,12.2858
2023-08-27T19:37:39.7424273Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.16,12.311
2023-08-27T19:37:40.7820812Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.17,12.3191
2023-08-27T19:37:41.8124211Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.18,12.3204
2023-08-27T19:37:42.8524378Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.17,12.3194
2023-08-27T19:37:43.8829486Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.17,12.3172
2023-08-27T19:37:44.9225525Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.15,12.3075
2023-08-27T19:37:45.9532771Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.15,12.3042
2023-08-27T19:37:46.9929871Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.16,12.3092
2023-08-27T19:37:48.0227227Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.16,12.313
2023-08-27T19:37:49.0630820Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.17,12.314
2023-08-27T19:37:50.0934962Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.17,12.3169
2023-08-27T19:37:51.1332292Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.17,12.3145
2023-08-27T19:37:52.1632620Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.13,12.2938
2023-08-27T19:37:53.1937836Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.1,12.2782
2023-08-27T19:37:54.2329308Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.12,12.2872
2023-08-27T19:37:55.2634465Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.13,12.2945
2023-08-27T19:37:56.3040781Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.14,12.298
2023-08-27T19:37:57.3336270Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.14,12.2996
2023-08-27T19:37:58.3641368Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.15,12.3052
2023-08-27T19:37:59.4038658Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.16,12.3089
2023-08-27T19:38:00.4335502Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.15,12.3034
2023-08-27T19:38:01.4640742Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.14,12.3015
2023-08-27T19:38:02.5071244Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.14,12.3021
2023-08-27T19:38:03.5339728Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.13,12.2957
2023-08-27T19:38:04.5637846Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.12,12.2877
2023-08-27T19:38:05.6038021Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.1,12.2761
2023-08-27T19:38:06.6342151Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.09,12.2709
2023-08-27T19:38:07.6646058Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.12,12.2882
2023-08-27T19:38:08.7041025Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.12,12.2869
